page_id,name,ID,ALIGN,EYE,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
1554,John Henry Irons (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1993, June",1993
1619,Jefferson Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1977, April",1977
1549,Slade Wilson (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1980, December",1980
1599,Phantom Stranger (New Earth),Secret Identity,,Black Eyes,Male Characters,,Living Characters,3093.00,"1952, September",1952
1723,Beatriz da Costa (New Earth),Secret Identity,Good Characters,Green Eyes,Female Characters,,Living Characters,3093.00,"1982, June",1982
1528,William Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1940, February",1940
1625,Carol Ferris (New Earth),Public Identity,Neutral Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1959, October",1959
4030,Clifford Steele (New Earth),Public Identity,,Photocellular Eyes,Male Characters,,Living Characters,3093.00,"1963, June",1963
3458,Etrigan (New Earth),Public Identity,Neutral Characters,Red Eyes,Male Characters,,Living Characters,3093.00,"1972, September",1972
39947,Jennifer-Lynn Hayden (New Earth),Secret Identity,Good Characters,Green Eyes,Female Characters,,Living Characters,3093.00,"1983, September",1983
261362,Swamp Thing (New Earth),Public Identity,Good Characters,Red Eyes,Male Characters,,Living Characters,3093.00,"1972, November",1972
8856,Renee Montoya (New Earth),Secret Identity,Good Characters,Brown Eyes,Female Characters,Homosexual Characters,Living Characters,3093.00,"1992, March",1992
1471,Harvey Dent (New Earth),Public Identity,Bad Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1942, August",1942
1696,Courtney Whitmore (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1999, July",1999
1894,Kendra Saunders (New Earth),Secret Identity,Good Characters,Hazel Eyes,Female Characters,,Deceased Characters,3093.00,"1999, August",1999
1700,Michael Holt (New Earth),Secret Identity,,Brown Eyes,Male Characters,,Living Characters,3093.00,"1997, June",1997
1825,Kilowog (New Earth),Public Identity,Good Characters,Red Eyes,Male Characters,,Living Characters,3093.00,"1986, June",1986
1870,Kara Zor-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"2004, May",2004
7155,Jonah Hex (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1972, March",1972
1681,Rex Tyler (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1940, March",1940
1464,Pamela Isley (New Earth),Secret Identity,Neutral Characters,Green Eyes,Female Characters,,Living Characters,3093.00,"1966, June",1966
1685,Pieter Cross (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1999, February",1999
1885,Jonathan L. Thunder (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1940, January",1940
2657,Mari McCabe (New Earth),Secret Identity,Good Characters,Amber Eyes,Female Characters,,Living Characters,3093.00,"1981, July",1981
1568,Scott Free (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1971, April",1971
173437,Martha Clark (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1986, October",1986
1839,Boston Brand (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1967, October",1967
21110,Daniel Turpin (New Earth),Public Identity,,Brown Eyes,Male Characters,,Deceased Characters,3093.00,"1942, June",1942
13108,John Zatara (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1938, June",1938
24301,Jonathan Kent (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1986, October",1986
1462,Oswald Cobblepot (New Earth),Public Identity,,Blue Eyes,Male Characters,,Living Characters,3093.00,"1941, December",1941
1788,Tatsu Yamashiro (New Earth),Secret Identity,Good Characters,Brown Eyes,Female Characters,,Living Characters,3093.00,"1983, July",1983
4079,Lawrence Trainor (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1963, June",1963
11039,Albert Rothstein (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1983, September",1983
1848,Brion Markov (New Earth),Secret Identity,Good Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1983, July",1983
1866,Sanderson Hawkins (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1941, December",1941
1900,Jonathan Chambers (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1941, September",1941
1547,Orion (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1971, March",1971
1585,Thaal Sinestro (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Male Characters,,Living Characters,3093.00,"1961, August",1961
1494,Cassandra Cain (New Earth),Secret Identity,Good Characters,Brown Eyes,Female Characters,,Living Characters,3093.00,"1999, July",1999
1445,Jason Todd (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1987, June",1987
1483,Susan Dearbon (New Earth),Public Identity,Good Characters,,Female Characters,,Deceased Characters,3093.00,"1961, March",1961
1468,Jean-Paul Valley (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1992, October",1992
14823,Hippolyta (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1987, February",1987
1785,Joseph Wilson (New Earth),Secret Identity,Neutral Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1984, May",1984
1574,Bernhard Baker (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1965, September",1965
12766,Sylvester Pemberton (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1941, October",1941
14002,Jesse Chambers (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1992, August",1992
1645,Floyd Lawton (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1950, June",1950
12672,Mera (New Earth),Public Identity,,Blue Eyes,Female Characters,,Living Characters,3093.00,"1963, October",1963
1897,Tora Olafsdotter (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1988, April",1988
1522,George Harkness (New Earth),Secret Identity,,Brown Eyes,Male Characters,,Living Characters,3093.00,"1960, December",1960
1606,Amanda Waller (New Earth),Public Identity,Good Characters,Brown Eyes,Female Characters,,Living Characters,3093.00,"1986, November",1986
1675,Jonathan Crane (New Earth),Public Identity,Bad Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1941, September",1941
1519,Leonard Snart (New Earth),Secret Identity,,Brown Eyes,Male Characters,,Living Characters,3093.00,"1957, June",1957
174276,Shiera Sanders (New Earth),Secret Identity,Good Characters,Brown Eyes,Female Characters,,Living Characters,3093.00,"1940, January",1940
1953,Maxwell Lord IV (New Earth),Public Identity,Neutral Characters,Black Eyes,Male Characters,,Living Characters,3093.00,"1987, May",1987
8056,Jeb Stuart (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1961, May",1961
38764,Damian Wayne (Prime Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1987, September",1987
1557,Big Barda (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Deceased Characters,3093.00,"1971, October",1971
2698,Niles Caulder (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1963, June",1963
1868,James Corrigan (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1940, February",1940
65039,Samuel Bradley (New Earth),Public Identity,Good Characters,Grey Eyes,Male Characters,,Living Characters,3093.00,"1937, March",1937
1682,Richard Tyler (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1985, November",1985
8049,James Ewell Brown Stuart (New Earth),Public Identity,Good Characters,,Male Characters,,Deceased Characters,3093.00,"1961, May",1961
1862,Todd Rice (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,Homosexual Characters,Living Characters,3093.00,"1983, September",1983
13358,Yz (New Earth),Secret Identity,Good Characters,Red Eyes,Male Characters,,Living Characters,3093.00,"1940, January",1940
5384,Matrix (Pocket Universe),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1988, April",1988
64094,Wolfgang Winks (New Earth),Public Identity,Good Characters,,Male Characters,,Living Characters,3093.00,"1942, November",1942
7288,William Glenmorgan (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1940, June",1940
1453,Stephanie Brown (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1992, August",1992
1865,Raymond Terrill (New Earth),Secret Identity,Good Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1992, February",1992
47056,Adam Blake (New Earth),Public Identity,Good Characters,Hazel Eyes,Male Characters,,Living Characters,3093.00,"1951, June",1951
1579,Kimiyo Hoshi (New Earth),Secret Identity,,Black Eyes,Female Characters,,Living Characters,3093.00,"1985, July",1985
1940,Jack Ryder (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1968, April",1968
1620,Vandar Adg (New Earth),Public Identity,,Brown Eyes,Male Characters,,Living Characters,3093.00,"1943, December",1943
11867,Justin Arthur (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1941, September",1941
1434,Max Mercury (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1940, November",1940
16667,Abigail Arcane (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1973, January",1973
8235,Thomas Haukins (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1947, June",1947
1658,Margaret Sawyer (New Earth),Public Identity,,Blue Eyes,Female Characters,Homosexual Characters,Living Characters,3093.00,"1987, April",1987
37701,Waylon Jones (New Earth),Public Identity,Bad Characters,Red Eyes,Male Characters,,Living Characters,3093.00,"1983, March",1983
12408,Travis Morgan (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1975, November",1975
1518,Gorilla Grodd (New Earth),Public Identity,Bad Characters,Grey Eyes,Male Characters,,Living Characters,3093.00,"1959, May",1959
4778,Talia al Ghul (New Earth),Secret Identity,Bad Characters,Brown Eyes,Female Characters,,Deceased Characters,3093.00,"1971, May",1971
1829,Adam Strange (New Earth),Public Identity,,Blue Eyes,Male Characters,,Living Characters,3093.00,"1958, December",1958
11870,Patrick Dugan (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1941, October",1941
1909,Daniel Cassidy (New Earth),Secret Identity,Good Characters,Yellow Eyes,Male Characters,,Living Characters,3093.00,"1984, June",1984
327940,James Harper Clone (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1971, January",1971
2736,Thomas Kalmaku (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1960, October",1960
13102,Gabrielle Doe (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1983, July",1983
2606,Henry Hall (New Earth),Secret Identity,Good Characters,Red Eyes,Male Characters,,Living Characters,3093.00,"1968, June",1968
1717,Connor Hawke (New Earth),Secret Identity,Good Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1994, October",1994
3628,Linda Park (New Earth),Public Identity,,Brown Eyes,Female Characters,,Living Characters,3093.00,"1989, July",1989
1583,Cyrus Gold (New Earth),Secret Identity,Bad Characters,Black Eyes,Male Characters,,Deceased Characters,3093.00,"1944, October",1944
1461,Edward Nashton (New Earth),Public Identity,Neutral Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1988, January",1988
144959,Arisia Rrab (New Earth),Public Identity,Good Characters,Yellow Eyes,Female Characters,,Living Characters,3093.00,"1981, May",1981
11604,Robert Crane (New Earth),Secret Identity,Good Characters,Red Eyes,Male Characters,,Living Characters,3093.00,"1942, April",1942
3622,Joan Williams (New Earth),Public Identity,,Blue Eyes,Female Characters,,Living Characters,3093.00,"1940, January",1940
4895,William Magnus (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1962, April",1962
1566,Mary Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1995, April",1995
1482,Jean Loring (New Earth),Public Identity,Bad Characters,Green Eyes,Female Characters,,Deceased Characters,3093.00,"1961, October",1961
7585,Oberon (New Earth),Public Identity,,Blue Eyes,Male Characters,,Living Characters,3093.00,"1971, April",1971
2612,Grant Emerson (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1994, April",1994
3473,Rita Farr (New Earth),Secret Identity,Good Characters,Brown Eyes,Female Characters,,Living Characters,3093.00,"1963, June",1963
3719,Jason Rusch (New Earth),Secret Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"2004, July",2004
1679,Hector Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1983, September",1983
10969,Mercury (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Male Characters,,Living Characters,3093.00,"1962, April",1962
4637,Jaime Reyes (New Earth),Secret Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"2006, February",2006
9652,Platinum (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Female Characters,,Living Characters,3093.00,"1962, April",1962
11609,Andre Chavard (New Earth),Public Identity,Good Characters,,Male Characters,,Living Characters,3093.00,"1942, June",1942
11871,Daniel Leong (New Earth),Secret Identity,Good Characters,Black Eyes,Male Characters,,Deceased Characters,3093.00,"1942, February",1942
13463,Vril Dox II (New Earth),Public Identity,Good Characters,Green Eyes,Male Characters,,Living Characters,3093.00,"1964, February",1964
12225,"Roy Raymond, Sr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1949, November",1949
1798,Uncle Sam (New Earth),Secret Identity,,Blue Eyes,Male Characters,,Living Characters,3093.00,"1940, July",1940
1858,Metron (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1971, March",1971
9655,Iron (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Male Characters,,Living Characters,3093.00,"1962, April",1962
9656,Lead (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Male Characters,,Living Characters,3093.00,"1962, April",1962
1709,Lucas Carr (New Earth),Public Identity,,Blue Eyes,Male Characters,,Living Characters,3093.00,"1960, March",1960
1597,Hartley Rathaway (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,Homosexual Characters,Living Characters,3093.00,"1959, May",1959
1450,Lana Lang (New Earth),Public Identity,Good Characters,Green Eyes,Female Characters,,Living Characters,3093.00,"1986, October",1986
4430,Rose Wilson (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1992, October",1992
2755,DeSaad (New Earth),Public Identity,Bad Characters,Black Eyes,Male Characters,,Living Characters,3093.00,"1971, May",1971
31787,Charles Taine (Pre-Zero Hour),Secret Identity,Good Characters,Black Eyes,Male Characters,,Living Characters,3093.00,"1961, May",1961
1463,Bane (New Earth),Secret Identity,Bad Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1993, January",1993
2766,Salakk (New Earth),Secret Identity,Good Characters,White Eyes,Male Characters,,Living Characters,3093.00,"1982, February",1982
9653,Tin (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Male Characters,,Living Characters,3093.00,"1962, April",1962
17885,Samuel Morgan (New Earth),,Good Characters,,Male Characters,,Deceased Characters,3093.00,"1937, March",1937
8734,Eve Eden (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1966, September",1966
1469,Harleen Quinzel (New Earth),Public Identity,Bad Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1999, October",1999
1835,Benjamin Turner (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1975, May",1975
3656,Mark Mardon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1960, January",1960
1558,Teth-Adam (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1945, December",1945
5315,Catherine Grant (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1987, January",1987
1699,Terrence Sloane (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1942, January",1942
51559,Jason Blood (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1972, September",1972
9654,Gold (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Male Characters,,Living Characters,3093.00,"1962, April",1962
1708,Victor Fries (New Earth),Secret Identity,Bad Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1959, February",1959
12024,Thomas Wayne (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Deceased Characters,3093.00,"1987, February",1987
1840,Arthur Light (New Earth),Public Identity,Bad Characters,Black Eyes,Male Characters,,Deceased Characters,3093.00,"1962, June",1962
37939,Lester Davis (New Earth),Public Identity,Good Characters,,Male Characters,,Living Characters,3093.00,"1957, February",1957
1881,Artemis of Bana-Mighdall (New Earth),Public Identity,Good Characters,Green Eyes,Female Characters,,Living Characters,3093.00,"1994, September",1994
16146,Alanna Strange (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1958, December",1958
22057,Nuidis Vulko (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1967, September",1967
24162,Steven Dayton (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1964, November",1964
1800,Lee Travis (New Earth),Secret Identity,Good Characters,Black Eyes,Male Characters,,Deceased Characters,3093.00,"1938, October",1938
13261,Martin Stein (New Earth),Secret Identity,Good Characters,Brown Eyes,Male Characters,,Deceased Characters,3093.00,"1978, March",1978
1853,Solis (New Earth),Secret Identity,,Blue Eyes,Male Characters,,Living Characters,3093.00,"1971, March",1971
42572,Alfred Twidgett (New Earth),Public Identity,,,Male Characters,,Living Characters,3093.00,"1942, June",1942
113540,Tubby Watts (New Earth),,Good Characters,,Male Characters,,Living Characters,3093.00,"1941, September",1941
10339,Unknown Soldier I (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1970, July",1970
1945,Giovanni Giuseppe (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Male Characters,,Deceased Characters,3093.00,"1960, July",1960
1716,Cynthia Reynolds (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1984, October",1984
1660,Victoria Vale (New Earth),Public Identity,Good Characters,Blue Eyes,Female Characters,,Living Characters,3093.00,"1948, October",1948
1467,Lucius Fox (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1979, January",1979
1846,Ganthet (New Earth),Public Identity,Good Characters,Green Eyes,Male Characters,,Living Characters,3093.00,1992,1992
1573,Izaya (New Earth),Public Identity,Good Characters,Grey Eyes,Male Characters,,Deceased Characters,3093.00,"1971, March",1971
70786,Barbara Ann Minerva (New Earth),Public Identity,,Brown Eyes,Female Characters,,Living Characters,3093.00,"1987, August",1987
1603,Rory Regan (New Earth),Secret Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1976, September",1976
1789,Eclipso (New Earth),Secret Identity,Bad Characters,Red Eyes,Male Characters,,Living Characters,3093.00,"1963, July",1963
3610,Mick Rory (New Earth),Public Identity,,Blue Eyes,Male Characters,,Living Characters,3093.00,"1963, November",1963
32739,Kyle Morgan (New Earth),Public Identity,Good Characters,Brown Eyes,Male Characters,,Living Characters,3093.00,"1957, February",1957
37941,Matthew Ryan (New Earth),Public Identity,Good Characters,Blue Eyes,Male Characters,,Living Characters,3093.00,"1957, February",1957
1830,Dinah Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Female Characters,,Deceased Characters,3093.00,"1947, August",1947
